phase,reveal_order,priority,overall,company,city,state,biz_type,apollo_emp,revenue,est_premium,likely_asian,in_kc_metro,is_food,website,phone
Phase 2 - High revenue,141,HIGH,4.1,Excel Linen Supply,Kansas City,Kansas,consumer services,11,"$10,000,000",$20K+,,Yes,No,http://www.excellinen.com,'+1 816-842-6565
Phase 2 - High revenue,142,HIGH,4.1,"Standard Sheet Metal, Inc.",Kansas City,Missouri,non-food (construction),37,"$15,493,000",$20K+,,Yes,No,http://www.standardsheetmetal.com,'+1 816-221-5434
Phase 2 - High revenue,143,HIGH,4.1,"Interactive Design, Inc.",Lenexa,Kansas,machinery,31,"$27,926,000",$20K+,,Yes,No,http://www.interactivedesign.com,'+1 913-492-0495
Phase 2 - High revenue,144,HIGH,4.1,The KC Improv Company,Kansas City,Missouri,entertainment,12,"$6,622,000",$20K+,,Yes,No,http://www.kansascitycomedy.com,'+1 816-806-4000
Phase 2 - High revenue,145,HIGH,4.1,Advanced Sports & Family Chiropractic & Acupuncture,Overland Park,Kansas,"health, wellness & fitness",34,"$7,252,000",$20K+,,Yes,No,http://www.asfca.com,'+1 816-425-7015
Phase 2 - High revenue,146,HIGH,4.1,"Crosswind Industries, Inc.",Parkville,Missouri,restaurant (general),29,"$25,000,000",$20K+,,Yes,Yes,,'+1 816-891-7979
Phase 2 - High revenue,147,HIGH,4.1,El Dorado Mexican Grille & Cantina,Topeka,Kansas,mexican restaurant,16,"$11,006,000",$20K+,,Yes,Yes,http://www.eldoradomexicangrille.com,'+1 785-267-1100
Phase 2 - High revenue,148,HIGH,4.1,"IodiTech, Inc.",Kansas City,Missouri,chemicals,20,"$9,260,000",$20K+,,Yes,No,http://www.ioditech.com,'+1 816-421-0366
Phase 2 - High revenue,149,HIGH,4.1,"DanCo Systems, Inc.",Shawnee,Kansas,information technology & services,12,"$21,095,000",$20K+,,Yes,No,http://www.dancosystems.com,'+1 913-962-0600
Phase 2 - High revenue,150,HIGH,4.1,Churchill Container,Lenexa,Kansas,religious org,46,"$41,889,000",$20K+,,Yes,No,http://www.churchillcontainer.com,'+1 800-999-5518
Phase 2 - High revenue,151,HIGH,4.1,"Klover Architects, Inc.",Lenexa,Kansas,architecture & planning,36,"$17,018,000",$20K+,,Yes,No,http://www.klover.net,'+1 913-649-8181
Phase 2 - High revenue,152,HIGH,4.1,"Acertus Consulting Group, LLC",Overland Park,Kansas,information technology & services,16,"$19,391,000",$20K+,,Yes,No,http://www.acertusgroup.com,'+1 913-322-5150
Phase 2 - High revenue,153,HIGH,4.1,Heartland International Ministries,Lenexa,Kansas,nonprofit organization management,11,"$7,462,000",$20K+,,Yes,No,http://www.heartforhim.org,'+1 913-432-1446
Phase 2 - High revenue,154,HIGH,4.1,JFS of Greater Kansas City (Jewish Family Services),Overland Park,Kansas,individual & family services,30,"$35,272,000",$20K+,,Yes,No,http://www.jfskc.org,'+1 913-327-8250
Phase 2 - High revenue,155,HIGH,4.1,IPS - Process Innovations,Independence,Missouri,machinery,50,"$17,327,000",$20K+,,Yes,No,http://www.ips-kc.com,'+1 816-221-9944
Phase 2 - High revenue,156,HIGH,4.1,Modern Catering,Mission,Kansas,catering,11,"$15,885,000",$20K+,,Yes,Yes,http://www.modernartcatering.com,'+1 626-818-0414
Phase 2 - High revenue,157,HIGH,4.1,Glory Days Pizza,Topeka,Kansas,pizza restaurant,28,"$17,659,000",$20K+,,Yes,Yes,http://www.glorydayspizza.com,'+1 785-266-0373
Phase 2 - High revenue,158,HIGH,4.1,Love to Travel,Overland Park,Kansas,"leisure, travel & tourism",27,"$7,724,000",$20K+,,Yes,No,http://www.lovetotravel.com,'+1 913-681-3688
Phase 2 - High revenue,159,HIGH,4.1,Kansas Sampler,Lenexa,Kansas,retail,24,"$9,042,000",$20K+,,Yes,No,http://www.kansassampler.org,'+1 620-585-2374
Phase 2 - High revenue,160,HIGH,4.1,Warner Robinson LLC,Kansas City,Missouri,accounting,12,"$21,106,000",$20K+,,Yes,No,http://www.warner-robinson.com,'+1 800-792-4861
Phase 2 - High revenue,161,HIGH,4.1,"HERITAGE ELECTRIC, LLC",Olathe,Kansas,contractor,20,"$13,807,000",$20K+,,Yes,No,http://www.heritage-electric.com,
Phase 2 - High revenue,162,HIGH,4.1,D. Thomas & Associates,Kansas City,Missouri,packaging & containers,47,"$34,926,000",$20K+,,Yes,No,http://www.dthos.com,'+1 816-361-5522
Phase 2 - High revenue,163,HIGH,4.1,ARY Inc.,Overland Park,Kansas,mechanical or industrial engineering,14,"$10,000,000",$20K+,,Yes,No,http://www.vacmasterfresh.com,'+1 800-821-7849
Phase 2 - High revenue,164,HIGH,4.1,Feature Impact,Mission,Kansas,public relations & communications,18,"$45,780,000",$20K+,,Yes,No,http://www.familyfeatures.com,'+1 888-824-3337
Phase 2 - High revenue,165,HIGH,4.1,Eileen's Colossal Cookies - Kansas City,Kansas City,Missouri,restaurant (general),21,"$36,835,000",$20K+,,Yes,Yes,,'+1 402-421-6609
Phase 2 - High revenue,166,HIGH,4.1,Ivanhoe Neighborhood Council,Kansas City,Missouri,government administration,17,"$14,099,000",$20K+,,Yes,No,http://www.incthrives.org,'+1 816-921-6611
Phase 2 - High revenue,167,HIGH,4.1,"MC Power Companies, Inc.",Lee's Summit,Missouri,non-food (renewables & environment),27,"$10,000,000",$20K+,,Yes,No,http://www.mcpower.com,'+1 816-251-4700
Phase 2 - High revenue,168,HIGH,4.1,"Baldwin Insurance Agency, llc",Kearney,Missouri,insurance,14,"$5,503,000",$20K+,,Yes,No,http://www.baldwininsuranceagency.com,'+1 816-628-0092
Phase 2 - High revenue,169,HIGH,4.1,MSI GuaranteedWeather,Overland Park,Kansas,financial services,19,"$12,833,000",$20K+,,Yes,No,http://www.guaranteedweather.com,'+1 844-864-8381
Phase 2 - High revenue,170,HIGH,4.1,SOS Pest Control,Kansas City,Missouri,individual & family services,20,"$15,004,000",$20K+,,Yes,No,http://www.soskc.com,'+1 816-471-5733
Phase 2 - High revenue,171,HIGH,4.1,TK Architects International,Kansas City,Missouri,architecture & planning,45,"$48,086,000",$20K+,,Yes,No,http://www.tkarch.com,'+1 816-842-7552
Phase 2 - High revenue,172,HIGH,4.1,Missouri Organic Recycling,Kansas City,Missouri,farming,26,"$5,000,000",$20K+,,Yes,No,http://www.missouriorganic.com,'+1 816-483-0908
Phase 2 - High revenue,173,HIGH,4.1,Unicorn Theatre,Kansas City,Missouri,performing arts,14,"$12,012,000",$20K+,,Yes,No,http://www.unicorntheatre.org,'+1 816-531-7529
Phase 2 - High revenue,174,HIGH,4.1,Red Snapper,Kansas City,Missouri,restaurant (general),17,"$11,609,000",$20K+,,Yes,Yes,http://www.kcredsnapper.com,'+1 816-333-8899
Phase 2 - High revenue,175,HIGH,4.1,Vista Drive In Reasturant,Manhattan,Kansas,retail,28,"$11,751,000",$20K+,,Yes,No,http://www.vistadrivein.com,'+1 785-537-0100
Phase 2 - High revenue,176,HIGH,4.1,The Merc Co+op,Lawrence,Kansas,retail,34,"$6,215,000",$20K+,,Yes,No,http://www.themerc.coop,'+1 785-843-8544
Phase 2 - High revenue,177,HIGH,4.1,Fun House Pizza,Lee's Summit,Missouri,pizza restaurant,13,"$9,100,000",$20K+,,Yes,Yes,http://www.funhousepizza.com,'+1 816-254-8000
Phase 2 - High revenue,178,HIGH,4.1,"SES, Inc.",Lenexa,Kansas,environmental services,21,"$21,658,000",$20K+,,Yes,No,http://www.ses-corp.com,'+1 913-307-0046
Phase 2 - High revenue,179,HIGH,4.1,American Royal Association,Kansas City,Missouri,entertainment,48,"$6,301,000",$20K+,,Yes,No,http://www.americanroyal.com,'+1 816-221-9800
Phase 2 - High revenue,180,HIGH,4.1,"eNSYNC Solutions, Inc",Overland Park,Kansas,nonprofit,12,"$16,706,000",$20K+,,Yes,No,http://www.ensyncsolutions.com,'+1 816-416-7500
Phase 2 - High revenue,181,HIGH,4.1,"SCD Probiotics, LLC",Kansas City,Missouri,research,34,"$12,000,000",$20K+,,Yes,No,http://www.scdprobiotics.com,'+1 913-541-9299
Phase 2 - High revenue,182,HIGH,4.1,VersaFlex,Kansas City,Kansas,transportation,49,"$62,400,000",$20K+,,Yes,No,http://www.versaflex.com,'+1 913-321-9000
Phase 2 - High revenue,183,HIGH,4.1,Pack Leader USA,Grandview,Missouri,packaging & containers,18,"$9,000,000",$20K+,,Yes,No,http://www.packleaderusa.com,'+1 816-581-4330
Phase 2 - High revenue,184,HIGH,4.1,Kissner USA Holdings,Overland Park,Kansas,chemicals,48,"$123,000,000",$20K+,,Yes,No,http://www.kissner.com,'+1 800-434-8248
Phase 2 - High revenue,185,HIGH,4.1,Express Scale Parts,Lenexa,Kansas,machinery,14,"$6,533,000",$20K+,,Yes,No,http://www.espmfg.com,'+1 913-441-4787
Phase 2 - High revenue,186,HIGH,4.1,Lon Lane's Inspired Occasions,Kansas City,Missouri,events services,38,"$31,070,000",$20K+,,Yes,No,http://www.inspiredoccasionskc.com,'+1 816-444-8372
Phase 2 - High revenue,187,HIGH,4.1,Cross-Lines Community Outreach,Kansas City,Kansas,nonprofit,23,"$29,073,000",$20K+,,Yes,No,http://www.cross-lines.org,'+1 913-281-3388
Phase 2 - High revenue,188,HIGH,4.1,FANESTIL MEATS,Emporia,Kansas,food manufacturing,22,"$17,223,000",$20K+,,,Yes,http://www.fanestils.com,'+1 620-342-6354
Phase 2 - High revenue,189,HIGH,4.1,Nautical Manufacturing and Fulfillment,Lenexa,Kansas,warehousing,37,"$7,200,000",$20K+,,Yes,No,http://www.nautical-direct.com,'+1 913-261-9491
Phase 2 - High revenue,190,HIGH,4.1,"His & Her Fitness, LLC",Leawood,Kansas,consumer services,13,"$5,500,000",$20K+,,Yes,No,http://www.hisandherfitness.net,'+1 913-206-7645
Phase 2 - High revenue,191,HIGH,4.1,Beer Kitchen,Kansas City,Missouri,restaurant (general),17,"$24,209,000",$20K+,,Yes,Yes,http://www.beerkitchenkc.com,'+1 816-389-4180
Phase 2 - High revenue,192,HIGH,4.1,Submarina California Subs,Topeka,Kansas,restaurant (general),24,"$5,152,000",$20K+,,Yes,Yes,http://www.submarina.com,'+1 760-471-3377
Phase 2 - High revenue,193,HIGH,4.1,Page Communications,Kansas City,Missouri,public relations & communications,13,"$6,074,000",$20K+,,Yes,No,http://www.pagecomms.com,'+1 816-531-7243
Phase 2 - High revenue,194,HIGH,4.1,Paradise Locker Meats,Trimble,Missouri,food manufacturing,16,"$265,000,000",$20K+,,,Yes,http://www.paradisemeats.com,'+1 816-370-6328
Phase 2 - High revenue,195,HIGH,4.1,Scan American Corporation,Kansas City,Missouri,non-food (machinery),18,"$13,004,000",$20K+,,Yes,No,http://www.scanamcorp.com,'+1 816-880-9321
Phase 2 - High revenue,196,HIGH,4.1,Roca Salon & Spa,Kansas City,Missouri,executive office,12,"$20,170,000",$20K+,,Yes,No,http://www.rocasalon.com,'+1 816-531-8018
Phase 2 - High revenue,197,HIGH,4.1,C3 | Creative Consumer Concepts,Overland Park,Kansas,marketing & advertising,42,"$5,275,000",$20K+,,Yes,No,http://www.c3brandmarketing.com,'+1 913-491-6444
Phase 2 - High revenue,198,HIGH,4.1,"DataSource, Inc.",Kansas City,Missouri,management consulting,50,"$6,300,000",$20K+,,Yes,No,http://www.datasourceinc.com,'+1 703-748-7180
Phase 2 - High revenue,199,HIGH,4.1,Mother Earth News magazine,Topeka,Kansas,publishing,23,"$30,243,000",$20K+,,Yes,No,http://www.motherearthnews.com,'+1 785-274-4300
Phase 2 - High revenue,200,HIGH,4.1,FINKLE + WILLIAMS Architecture,Lenexa,Kansas,architecture & planning,26,"$9,016,000",$20K+,,Yes,No,http://www.finklewilliams.com,'+1 913-498-1550
Phase 2 - High revenue,201,HIGH,4.1,CUI Solutions,North Kansas City,Missouri,chemicals,19,"$17,165,000",$20K+,,Yes,No,http://www.cuisolutions.com,'+1 816-471-3602
Phase 2 - High revenue,202,HIGH,4.1,Cancer Action,Overland Park,Kansas,hospital & health care,12,"$12,096,000",$20K+,,Yes,No,http://www.canceractionkc.org,'+1 913-642-8885
Phase 2 - High revenue,203,HIGH,4.1,"Camcorp, Inc.",Lenexa,Kansas,machinery,41,"$11,200,000",$20K+,,Yes,No,http://www.camcorpinc.com,'+1 913-831-0740
Phase 2 - High revenue,204,HIGH,4.1,Tabco,Kansas City,Kansas,printing,23,"$13,428,000",$20K+,,Yes,No,http://www.tabcoinc.com,'+1 913-287-3333
Phase 2 - High revenue,205,HIGH,4.1,Salvajor Company,Kansas City,Missouri,non-food (mechanical or industrial engineering),32,"$12,434,000",$20K+,,Yes,No,http://www.salvajor.com,'+1 816-363-1030
Phase 2 - High revenue,206,HIGH,4.1,"Vanguard Shrink Films, Inc.",Lenexa,Kansas,packaging & containers,13,"$10,000,000",$20K+,,Yes,No,http://www.vanguardshrinkfilms.com,'+1 800-772-1187
Phase 2 - High revenue,207,HIGH,4.1,Mainline Printing,Topeka,Kansas,printing,40,"$6,163,000",$20K+,,Yes,No,http://www.mainlineprinting.com,'+1 785-233-2338
Phase 2 - High revenue,208,HIGH,4.1,Ballard Center KS,Lawrence,Kansas,non-food (individual & family services),12,"$9,532,000",$20K+,,Yes,No,http://www.ballardcenter.org,'+1 785-842-0729
Phase 2 - High revenue,209,HIGH,4.1,KC Shepherd's Center,Kansas City,Missouri,individual & family services,12,"$6,284,000",$20K+,,Yes,No,http://www.kcshepherdscenter.org,'+1 816-444-1121
Phase 2 - High revenue,210,HIGH,4.1,Park Lanes Family Fun Center,Shawnee,Kansas,entertainment,21,"$9,665,000",$20K+,,Yes,No,http://www.parklaneskc.com,'+1 913-248-1110
Phase 2 - High revenue,211,HIGH,4.1,Equip-Bid Auctions,Overland Park,Kansas,wholesale,22,"$7,729,000",$20K+,,Yes,No,http://www.equip-bid.com,'+1 913-686-6345
Phase 2 - High revenue,212,HIGH,4.1,"Trimac Industrial Systems, LLC",Kansas City,Kansas,machinery,14,"$41,966,000",$20K+,,Yes,No,http://www.trimacsystems.com,'+1 913-441-0043
Phase 2 - High revenue,213,HIGH,4.1,Business by Promotion LLC,Lee's Summit,Missouri,nonprofit,13,"$10,518,000",$20K+,,Yes,No,http://www.businessbp.com,'+1 816-350-8811
Phase 2 - High revenue,214,HIGH,4.1,Omega Door and Hardware,Kansas City,Kansas,construction,21,"$13,901,000",$20K+,,Yes,No,http://www.omega-kc.com,'+1 913-647-3667
Phase 2 - High revenue,215,HIGH,4.1,Quality Air Solutions,Lenexa,Kansas,wholesale,25,"$7,306,000",$20K+,,Yes,No,http://www.qualityairsolutions.net,'+1 913-735-2920
Phase 2 - High revenue,216,HIGH,4.1,Palominos Restaurant,Independence,Missouri,restaurant (general),38,"$16,627,000",$20K+,,Yes,Yes,http://www.palomino.com,'+1 415-512-7400
Phase 2 - High revenue,217,HIGH,4.1,Johnson County Community Health Services,Warrensburg,Missouri,"health, wellness & fitness",23,"$19,811,000",$20K+,,Yes,No,http://www.johnsoncountyhealth.org,'+1 660-747-6121
Phase 2 - High revenue,218,HIGH,4.1,Kansas Wheat,Manhattan,Kansas,farming,18,"$10,288,000",$20K+,,Yes,No,http://www.kswheat.com,'+1 785-539-0255
Phase 2 - High revenue,219,HIGH,4.1,Space Perspective,Warrensburg,Missouri,aviation & aerospace,24,"$7,000,000",$20K+,,Yes,No,http://www.spaceperspective.com,'+1 321-985-3018
Phase 2 - High revenue,220,HIGH,4.1,Paragon Star,Lee's Summit,Missouri,performing arts,15,"$15,312,000",$20K+,,Yes,No,http://www.paragonstar.com,'+1 888-382-2831
Phase 2 - High revenue,221,HIGH,4.1,Nurture KC,Kansas City,Missouri,nonprofit organization management,11,"$30,436,000",$20K+,,Yes,No,http://www.nurturekc.org,'+1 816-283-6242
Phase 2 - High revenue,222,HIGH,4.1,Fritz's Railroad Restaurant,Shawnee,Kansas,restaurant (general),19,"$11,209,000",$20K+,,Yes,Yes,http://www.fritzskc.com,'+1 913-375-1000
Phase 2 - High revenue,223,HIGH,4.1,Best Friends Pet,Leawood,Kansas,restaurant (general),17,"$15,008,000",$20K+,,Yes,Yes,http://www.bestfriendspet.us,
Phase 2 - High revenue,224,HIGH,4.1,Piropos Restaurant,Kansas City,Missouri,,12,"$13,906,000",$20K+,,Yes,No,http://www.piroposkc.com,'+1 816-741-3600
Phase 2 - High revenue,225,HIGH,4.0,Rainy Day Books,Fairway,Kansas,retail,22,"$14,113,000",$20K+,,,No,http://www.rainydaybooks.com,'+1 913-384-3126
Phase 2 - High revenue,226,HIGH,4.0,Wild Hare,Bolivar,Missouri,recreational facilities & services,46,"$5,337,000",$20K+,,,No,http://www.wildharemusic.com,'+1 773-770-3511
Phase 2 - High revenue,227,HIGH,4.0,ECKAN,Ottawa,Kansas,nonprofit organization management,35,"$5,226,000",$20K+,,,No,http://www.eckan.org,'+1 785-242-7450
Phase 2 - High revenue,228,HIGH,4.0,"Tilton, Thomas & Morgan, Inc.",Saint Joseph,Missouri,insurance,13,"$17,524,000",$20K+,,,No,http://www.ttminsurance.com,'+1 816-233-0266
Phase 2 - High revenue,229,HIGH,4.0,St. Joseph (Mo.) Chamber of Commerce,Saint Joseph,Missouri,transportation,12,"$8,079,000",$20K+,,,No,http://www.choosesaintjoseph.com,'+1 816-232-4461
Phase 2 - High revenue,230,HIGH,4.0,BCI,Sabetha,Kansas,transportation,30,"$20,000,000",$20K+,,,No,http://www.bachelorcontrols.com,'+1 785-284-3482
Phase 2 - High revenue,231,HIGH,4.0,Prenger Foods,Bucklin,Missouri,marketing & advertising,33,"$12,594,000",$20K+,,,No,http://www.prengerfoods.com,'+1 660-258-2653
Phase 2 - High revenue,232,HIGH,4.0,Sunnycrest Farm,Blue Mound,Kansas,farming,11,"$16,283,000",$20K+,,,No,http://www.sunnycrestfarmnh.com,'+1 603-432-9652
Phase 2 - High revenue,233,HIGH,4.0,"TTG, Inc.",Higginsville,Missouri,textiles,26,"$6,000,000",$20K+,,,No,http://www.ttgtech.net,'+1 660-584-2448
Phase 2 - High revenue,234,HIGH,4.0,"Westin Trading, Inc.",St. Louis,Missouri,wholesale,19,"$14,219,000",$20K+,,,No,http://www.westintrading.com,'+1 314-993-6150
Phase 2 - High revenue,235,HIGH,4.0,"F & A Food Sales Co., Inc.",Concordia,Kansas,wholesale,38,"$15,361,000",$20K+,,,No,http://www.fafoodsales.com,'+1 785-243-2301
Phase 2 - High revenue,236,HIGH,4.0,"Show Me Ethanol, LLC",Carrollton,Missouri,research,26,"$9,699,000",$20K+,,,No,http://www.smealcohol.com,'+1 660-542-6493
Phase 2 - High revenue,237,HIGH,4.0,TREXCON INC.,Saint Joseph,Missouri,oil & energy,20,"$12,210,000",$20K+,,,No,http://www.trexcon.com,'+1 816-232-8494
Phase 2 - High revenue,238,HIGH,4.0,Midwest Metalcraft,Windsor,Missouri,non-food (machinery),27,"$18,570,000",$20K+,,,No,http://www.4mmc.com,'+1 660-647-3167
Phase 2 - High revenue,239,HIGH,4.0,Moms Restaurant,Marceline,Missouri,recreational facilities & services,18,"$30,319,000",$20K+,,,No,http://www.momschico.com,'+1 530-893-3447
Phase 2 - High revenue,240,HIGH,4.0,"Roll Products, Inc.",Saint Marys,Kansas,religious org,16,"$10,000,000",$20K+,,,No,http://www.rollproducts.com,'+1 785-437-6000
Phase 2 - High revenue,241,HIGH,4.0,St. Joe Petroleum Co.,Saint Joseph,Missouri,oil & energy,30,"$5,119,000",$20K+,,,No,http://www.stjoepetroleum.com,'+1 816-279-0770
Phase 2 - High revenue,242,HIGH,4.0,Midwest Cabinet Company,Ottawa,Kansas,construction,38,"$5,327,000",$20K+,,,No,http://www.midwestcabinet.com,'+1 785-242-8181
Phase 2 - High revenue,243,HIGH,4.0,Barlow Truck Lines Inc,Faucett,Missouri,transportation,44,"$32,072,000",$20K+,,,No,http://www.barlowtruckline.com,'+1 816-238-3373
Phase 2 - High revenue,244,HIGH,4.0,"Prairie Paws Animal Shelter, Inc.",Ottawa,Kansas,nonprofit organization management,12,"$19,512,000",$20K+,,,No,http://www.prairiepaws.org,'+1 785-242-2967
Phase 2 - High revenue,245,HIGH,4.0,St. Agnes Catholic School,Roeland Park,Kansas,non-food (primary/secondary education),17,"$64,115,000",$20K+,,,No,http://www.stagneskc.org,'+1 913-262-2400
Phase 2 - High revenue,246,HIGH,4.0,InnovaPrep LLC,Drexel,Missouri,research,24,"$13,431,000",$20K+,,,No,http://www.innovaprep.com,'+1 816-619-3374
Phase 2 - High revenue,247,HIGH,4.0,Hangar Cinema,Maryville,Missouri,entertainment,14,"$10,759,000",$20K+,,,No,http://www.hangar1.com,'+1 660-582-7100
Phase 2 - High revenue,248,HIGH,4.0,Johns Farm,Walnut,Kansas,farming,18,"$14,964,000",$20K+,,,No,http://www.johnsfarms.com,'+1 516-933-1444
Phase 2 - High revenue,249,HIGH,4.0,Huckleberry's,Trenton,Missouri,restaurant (general),20,"$12,769,000",$20K+,,,Yes,,'+1 660-359-5745
Phase 2 - High revenue,250,HIGH,4.0,Elite Booth LLC,Raytown,Missouri,furniture,12,"$33,331,000",$20K+,,,No,http://www.elitebooth.com,'+1 816-743-8158
Phase 2 - High revenue,251,HIGH,4.0,"Green Dot Bioplastics, Inc.",Emporia,Kansas,plastics,14,"$5,000,000",$20K+,,,No,http://www.greendotbioplastics.com,'+1 620-273-8919
Phase 2 - High revenue,252,HIGH,4.0,Second Harvest Community Food Bank,Saint Joseph,Missouri,nonprofit organization management,20,"$5,575,000",$20K+,,,No,http://www.shcfb.org,'+1 816-364-3663
Phase 3 - Remaining HIGHs,253,HIGH,4.3,The Olivia Collection,Lawrence,Kansas,restaurant (general),29,"$2,030,000",$20K+,,Yes,Yes,http://www.theoread.com,'+1 785-843-1200
Phase 3 - Remaining HIGHs,254,HIGH,4.3,Timber Creek Bar & Grill,Louisburg,Kansas,bar/nightclub,18,,$20K+,,Yes,Yes,http://www.timbercreeklouisburg.com,'+1 913-837-2600
Phase 3 - Remaining HIGHs,255,HIGH,4.3,PT's Coffee Roasting Co.,Topeka,Kansas,coffee/cafe,27,"$4,111,000",$20K+,,Yes,Yes,http://www.ptscoffee.com,'+1 785-862-5282
Phase 3 - Remaining HIGHs,256,HIGH,4.3,Grand Street Cafe,Kansas City,Missouri,coffee/cafe,31,"$2,394,000",$20K+,,Yes,Yes,http://www.grandstreetkc.com,'+1 816-561-8000
Phase 3 - Remaining HIGHs,257,HIGH,4.3,Eldridge Hotel,Lawrence,Kansas,restaurant (general),30,,$20K+,,Yes,Yes,http://www.eldridgehotel.com,'+1 785-749-5011
Phase 3 - Remaining HIGHs,258,HIGH,4.3,Dolce Bakery,Prairie Village,Kansas,bakery,37,"$749,000",$20K+,,Yes,Yes,http://www.dolcebakes.com,'+1 913-236-4411
Phase 3 - Remaining HIGHs,259,HIGH,4.3,Arthur Bryant's Barbeque,Kansas City,Missouri,restaurant (general),15,,$20K+,,Yes,Yes,http://www.arthurbryantsbbq.com,'+1 816-231-1123
Phase 3 - Remaining HIGHs,260,HIGH,4.3,Christopher Elbow Chocolates,Kansas City,Missouri,restaurant (general),29,"$4,677,000",$20K+,,Yes,Yes,http://www.elbowchocolates.com,'+1 415-355-1105
Phase 3 - Remaining HIGHs,261,HIGH,4.3,Andre's Confiserie Suisse,Kansas City,Missouri,restaurant (general),12,"$2,043,000",$20K+,,Yes,Yes,http://www.andreschocolates.com,'+1 816-561-3440
Phase 3 - Remaining HIGHs,262,HIGH,4.3,"Zest Restaurant, LLC",Leawood,Kansas,restaurant (general),44,,$20K+,,Yes,Yes,http://www.zest.ae,043685460
Phase 3 - Remaining HIGHs,263,HIGH,4.3,Café Des Amis,Parkville,Missouri,coffee/cafe,38,,$20K+,,Yes,Yes,http://www.cafedesamiskc.com,'+1 816-587-6767
Phase 3 - Remaining HIGHs,264,HIGH,4.3,Complete Construction Service,Shawnee,Kansas,contractor,33,,$20K+,,Yes,No,http://www.ccsconstructionservice.com,'+1 913-387-4796
Phase 3 - Remaining HIGHs,265,HIGH,4.3,J. Rieger & Co.,Kansas City,Missouri,restaurant (general),50,,$20K+,,Yes,Yes,http://www.jriegerco.com,'+1 816-807-3867
Phase 3 - Remaining HIGHs,266,HIGH,4.3,Austins Bar & Grill Olathe & Gardner KS,Olathe,Kansas,bar/nightclub,45,,$20K+,,Yes,Yes,http://www.austinsbarandgrill.com,'+1 913-322-2337
Phase 3 - Remaining HIGHs,267,HIGH,4.3,"JOE'S KANSAS CITY BAR-B-QUE, INC.",Kansas City,Kansas,restaurant (general),36,,$20K+,,Yes,Yes,http://www.joeskc.com,'+1 913-722-3366
Phase 3 - Remaining HIGHs,268,HIGH,4.3,Fiorella's,Overland Park,Kansas,restaurant (general),35,,$20K+,,Yes,Yes,http://www.fiorellaskc.com,'+1 913-356-5700
Phase 3 - Remaining HIGHs,269,HIGH,4.3,Hotel Kansas City - in the Unbound Collection by Hyatt,Kansas City,Missouri,restaurant (general),40,,$20K+,,Yes,Yes,http://www.hotelkc.com,'+1 816-685-1228
Phase 3 - Remaining HIGHs,270,HIGH,4.3,FlexPro Meals,Kansas City,Missouri,restaurant (general),33,,$20K+,,Yes,Yes,http://www.flexpromeals.com,'+1 816-888-3539
Phase 3 - Remaining HIGHs,271,HIGH,4.3,Brass Rail Sports Bar & Grill,Kansas City,Missouri,bar/nightclub,33,,$20K+,,Yes,Yes,http://www.brassrailkc.com,'+1 816-468-6100
Phase 3 - Remaining HIGHs,272,HIGH,4.3,Great Day Moving,Kansas City,Missouri,contractor,17,"$4,780,000",$20K+,,Yes,No,http://www.greatdaymoving.com,'+1 877-541-1015
Phase 3 - Remaining HIGHs,273,HIGH,4.3,Blast It Clean,Kansas City,Missouri,trades contractor,34,,$20K+,,Yes,No,http://www.blastitclean.com,'+1 877-379-4233
Phase 3 - Remaining HIGHs,274,HIGH,4.3,Build WyCo,Kansas City,Kansas,contractor,38,,$20K+,,Yes,No,http://www.buildwyco.org,'+1 913-342-7580
Phase 3 - Remaining HIGHs,275,HIGH,4.3,Olive Cafe,Kansas City,Missouri,coffee/cafe,46,,$20K+,,Yes,Yes,http://www.olivecafe.biz,'+1 858-488-1224
Phase 3 - Remaining HIGHs,276,HIGH,4.3,Waldo Pizza,Lee's Summit,Missouri,pizza restaurant,36,,$20K+,,Yes,Yes,http://www.ordersummitpizza.com,'+1 816-875-2121
Phase 3 - Remaining HIGHs,277,HIGH,4.3,Eggtc,Kansas City,Missouri,restaurant (general),15,"$1,383,000",$20K+,,Yes,Yes,http://www.eggtckc.com,'+1 816-561-0116
Phase 3 - Remaining HIGHs,278,HIGH,4.3,Plate,Kansas City,Missouri,restaurant (general),32,,$20K+,,Yes,Yes,http://www.platekc.com,'+1 913-730-7545
Phase 3 - Remaining HIGHs,279,HIGH,4.3,CORVINO,Kansas City,Missouri,restaurant (general),40,,$20K+,,Yes,Yes,http://www.corvino.com,'+1 816-832-4564
Phase 3 - Remaining HIGHs,280,HIGH,4.3,Smokehouse BBQ KC,Independence,Missouri,bbq restaurant,31,,$20K+,,Yes,Yes,http://www.smokehousebbq.com,'+1 816-587-3337
Phase 3 - Remaining HIGHs,281,HIGH,4.2,Katie's Pizza,Clayton,Missouri,pizza restaurant,48,,$20K+,,,Yes,http://www.johngehrig.ch,'+1 312-725-6466
Phase 3 - Remaining HIGHs,282,HIGH,4.2,Graves Foods,Jefferson City,Missouri,restaurant (general),43,,$20K+,,,Yes,http://www.gravesfoods.com,'+1 573-893-3000
Phase 3 - Remaining HIGHs,283,HIGH,4.2,BARcelona Tapas,Clayton,Missouri,restaurant (general),41,,$20K+,,,Yes,http://www.barcelonatapas.com,'+1 314-899-9600
